"id","NbrePages10ID","livreID"
"930","108","930"
"931","30","931"
"932","20","932"
"933","35","933"
"934","36","934"
"935","30","935"
"936","38","936"
"937","38","937"
"938","42","938"
"939","17","939"
"940","20","940"
"941","28","941"
"942","22","942"
"943","46","943"
"944","1","944"
"945","1","945"
"946","1","946"
"947","1","947"
"948","1","948"
"949","1","949"
"950","1","950"
"951","1","951"
"952","1","952"
"953","33","953"
"954","41","954"
"955","30","955"
"956","46","956"
"957","29","957"
"958","23","958"
"959","28","959"
"960","54","960"
"961","10","961"
"962","16","962"
"963","71","963"
"964","14","964"
"965","23","965"
"966","8","966"
"967","42","967"
"968","51","968"
"969","49","969"
"970","59","970"
"971","68","971"
"972","52","972"
"973","51","973"
"974","41","974"
"975","54","975"
"976","45","976"
"977","61","977"
"978","54","978"
"979","38","979"
"980","23","980"
"981","35","981"
"982","41","982"
"983","61","983"
"984","54","984"
"985","20","985"
"986","51","986"
"987","47","987"
"988","40","988"
"989","57","989"
"990","56","990"
"991","33","991"
"992","41","992"
"993","27","993"
"994","45","994"
"995","32","995"
"996","41","996"
"997","34","997"
"998","15","998"
"999","39","999"
"1000","59","1000"
"1001","39","1001"
"1002","100","1002"
"1003","52","1003"
"1004","31","1004"
"1005","46","1005"
"1006","47","1006"
"1007","49","1007"
"1008","56","1008"
"1009","59","1009"
"1010","7","1010"
"1011","36","1011"
"1012","41","1012"
"1013","47","1013"
"1014","31","1014"
"1015","64","1015"
"1016","81","1016"
"1017","36","1017"
"1018","41","1018"
"1019","44","1019"
"1020","51","1020"
"1021","33","1021"
"1022","44","1022"
"1023","50","1023"
"1024","39","1024"
"1025","47","1025"
"1026","53","1026"
"1027","36","1027"
"1028","66","1028"
"1029","47","1029"
"1030","20","1030"
"1031","71","1031"
"1032","29","1032"
"1033","43","1033"
"1034","45","1034"
"1035","15","1035"
"1036","46","1036"
"1037","33","1037"
"1038","25","1038"
"1039","37","1039"
"1040","25","1040"
"1041","35","1041"
