"SerieID","id_allocine","titre_fr","titre_vo","poster","synopsis"
"7129","11581","Regular Show","Regular Show","http://fr.web.img4.acsta.net/medias/nmedia/18/94/40/63/20326008.jpg","Deux amis, un geai bleu nommé Mordecai et un raton-laveur nommé Rigby, sont employés municipaux. Ils préfèrent s'amuser au lieu de travailler et cela les conduit à vivre des mésaventures souvent surréalistes."
"7130","11582","Le Monde incroyable de Gumball","The Amazing World of Gumball","http://fr.web.img1.acsta.net/medias/nmedia/18/94/41/17/20326296.jpg","Le quotidien de Gumball, un chaton bleu âgé 12 ans, ainsi que son compagnon Darwin, un poisson rouge domestique, devenu son frère adoptif après que des bras et des jambes lui aient poussé. Gumball et sa famille vivent à Elmore, une ville imaginaire, semblant appartenir au monde réel, mais qui est habitée..."
"7131","11586","Le Monde de Riley","Girl Meets World","http://fr.web.img2.acsta.net/pictures/14/04/03/11/18/414563.jpg","Cory et Tapanga ont bien grandi... et leur fille aussi ! Désormais adolescente, la jeune fille découvre à son tour l'amour et l'amitié sous les yeux bienveillants de ses chers parents...Sequel de la sitcom L'Incorrigible Cory."
"7132","11587","Another Hero","Another Hero","http://fr.web.img4.acsta.net/medias/nmedia/18/94/42/74/20328347.jpg","Romain David est un type à l?allure normale, un peu pâle, un peu bedonnant, un peu geek, mais qui cache un secret : il est un super-héros. Enfin, pas tout à fait... Accompagné de ses deux colocataires dépourvus de pouvoirs, Pascal et Fred, Romain combat le mal incarné par la multinationale nommée Inferni..."
"7133","11589","Gates (US)","Gates (US)","http://fr.web.img1.acsta.net/medias/nmedia/18/94/44/76/20329402.jpg","Les portes de l'école de leur fille devient vite un lieu de rencontres improbables et un champ de mines favorable aux rivalités, maladresses et autres quiproquos, pour un couple fraîchement débarqué dans une nouvelle ville...Remake de la série britannique Gates."
"7134","11590","Feel the Force","Feel the Force","http://fr.web.img5.acsta.net/medias/nmedia/18/94/45/42/20330255.jpg",NULL
"7135","11598","Lazy Company","Lazy Company","http://fr.web.img3.acsta.net/medias/nmedia/18/94/50/00/20334112.jpg","Juin 1944. Le débarquement. Quatre soldats égarés forment une unité improvisée, unis par une totale incompétence pour la guerre et bien décidés à se planquer en attendant que ça passe. Sans vraiment le faire exprès, ils vont changer le cours de l?histoire... Ils sont la Lazy Company."
"7136","11601","Archie Bunker's Place","Archie Bunker's Place","http://fr.web.img3.acsta.net/medias/nmedia/18/94/52/55/20335357.jpg","Un spin-off de All in the Family."
"7137","11602","Hebburn","Hebburn","http://fr.web.img2.acsta.net/medias/nmedia/18/94/54/18/20336585.jpg","Dans la famille Pearson, il y a le fils : Jack. Celui-ci a quitté le domicile familial pour partir vivre à Manchester. De retour chez les siens, il présente à ses parents, Pauline et Joe, celle qu'il a secrètement épousé, lors d'une soirée très alcoolisée à Vegas : Sarah, une bourgeoise de confession..."
"7138","11603","Murder On the Home Front","Murder On the Home Front","http://fr.web.img4.acsta.net/medias/nmedia/18/94/54/62/20337224.jpg","Pendant le Blitz de Londres, des personnes profitent de la situation pour commettre des meurtres et échapper à la Justice. Le Dr Lennox Collins, un pathologiste nouveau dans le monde criminel, va faire équipe avec Molly Cooper. Ensembles, ils vont découvrir qu?un serial killer utilise le Blitz pour cacher..."
"7139","11604","Heading Out","Heading Out","http://fr.web.img2.acsta.net/medias/nmedia/18/97/29/73/20521217.jpg","Sara, une vétérinaire populaire et accomplie, a peur d'annoncer à ses parents qu?elle est lesbienne. Le soir de ses 40 ans, ses amis lui posent un ultimatum : soit elle dit la vérité à ses parents dans les six semaines, soit c?est eux qui le feront. Pour l?aider à accomplir sa tâche, ils lui offrent..."
"7140","11605","The Syndicate","The Syndicate","http://fr.web.img6.acsta.net/medias/nmedia/18/94/54/66/20337264.jpg","Des collègues de travail jouent ensemble au loto et gagnent. Quelles seront les retombées sur chacun d'entre eux ? Comment vont-ils gérer cet argent ? Qu'est-ce qui va changer dans leurs vies ?"
"7141","11614","Drifters","Drifters","http://fr.web.img4.acsta.net/pictures/203/412/20341273_20131031213157873.jpg","Meg, Bunny et Laura sont trois jeunes femmes dans la vingtaine vivant à Leeds. A peine sorties de l'université, elles doivent faire face au monde réel. Elles prennent de mauvaises décisions, mais s?amusent beaucoup..."
"7142","11618","The Fear","The Fear","http://fr.web.img3.acsta.net/medias/nmedia/18/94/62/03/20373898.jpg","Rickie Beckett est un ancien patron du crime organisé, devenu entrepreneur, à Brighton. Il poursuit son rêve de reconstruire une zone abandonnée de la ville : West Pier. Mais les choses ne vont pas rester ainsi lorsque la Mafia libanaise envahit la zone et qu'une forme de démence commence à toucher l'homme..."
"7143","11620","Journal d'une ado hors norme","My Mad Fat Diary","http://fr.web.img2.acsta.net/medias/nmedia/18/95/71/06/20423549.jpg","La vie de Rae, une adolescente obèse de 16 ans, dans les années 1990. Très enjouée, malgré la présence d'une mère très excentrique, la jeune fille a hâte de vivre sa vie, de découvrir l'amour et... de s'envoyer en l'air !"
"7144","11621","Run","Run","http://fr.web.img2.acsta.net/medias/nmedia/18/94/63/07/20343853.jpg","Les parcours de quatre personnes, sans lien particulier, prenant des décisions qui vont définir leur vie future dans un monde sans grandes opportunités et dans lequel la survie n'est jamais acquise."
"7145","11622","In the Flesh","In the Flesh","http://fr.web.img2.acsta.net/medias/nmedia/18/94/62/95/20343817.jpg","Quatre ans après sa mort, Kieren Walker reprend sa place au sein de sa famille et retrouve ses marques dans le village où il a toujours vécu. Personne pensait le revoir un jour. Seulement peu de temps après son décès, par une étrange nuit, des milliers de personnes décédées se sont réveillées."
"7146","11626","To Appomattox","To Appomattox",NULL,"La vie des généraux et de leur famille durant la guerre civile en Amérique, de West Point à Appomattox."
"7147","11627","Roxane, la vie sexuelle de ma pote","Roxane, la vie sexuelle de ma pote","http://fr.web.img5.acsta.net/medias/nmedia/18/94/65/69/20346147.jpg","Les tribulations - drôles et mordantes - d'une jeune célibataire à la recherche du Grand Amour. Issue d'une génération née avec la pilule et le préservatif, Roxane est pleine de contradictions : romantique, réservée, en quête de l'homme de sa vie, tout en étant immature et voulant s'éclater sexuellement..."
"7148","11629","The Arrangement (2012)","The Arrangement (2012)",NULL,"Billy, un businessman de Miami, veut se lancer dans la politique. Pour accroître les chances de se faire élire, il va épouser un femme colombienne. Or, cette dernière est en cavale et veut à tout prix fuir son passé..."
