"id","note_allocine_publicID","filmID"
"2234","22","2692"
"2235","21","2693"
"2236","20","2694"
"2237","22","2695"
"2238","18","2696"
"2239","29","2698"
"2240","20","2699"
"2241","19","2701"
"2242","19","2703"
"2243","19","2704"
"2244","20","2710"
"2245","23","2712"
"2246","20","2713"
"2247","18","2714"
"2248","19","2718"
"2249","20","2719"
"2250","19","2720"
"2251","27","2721"
"2252","20","2723"
"2253","19","2724"
"2254","19","2725"
"2255","18","2727"
"2256","21","2728"
"2257","20","2729"
"2258","20","2730"
"2259","19","2731"
"2260","12","2732"
"2261","20","2734"
"2262","21","2743"
"2263","23","2745"
"2264","21","2746"
"2265","18","2747"
"2266","18","2748"
"2267","19","2749"
"2268","21","2750"
"2269","21","2751"
"2270","18","2752"
"2271","24","2753"
"2272","17","2754"
"2273","17","2756"
"2274","19","2764"
"2275","31","2765"
"2276","28","2767"
"2277","13","2768"
"2278","23","2769"
"2279","21","2771"
"2280","19","2772"
"2281","20","2773"
"2282","20","2774"
"2283","22","2775"
"2284","19","2776"
"2285","19","2778"
"2286","22","2781"
"2287","24","2782"
"2288","22","2783"
"2289","19","2784"
"2290","21","2785"
"2291","19","2787"
"2292","21","2789"
"2293","21","2791"
"2294","22","2792"
"2295","20","2793"
"2296","18","2794"
"2297","19","2796"
"2298","18","2797"
"2299","18","2798"
"2300","18","2799"
"2301","23","2801"
"2302","19","2802"
"2303","20","2803"
"2304","31","2804"
"2305","19","2805"
"2306","20","2807"
"2307","21","2809"
"2308","21","2810"
"2309","21","2811"
"2310","23","2813"
"2311","24","2814"
"2312","28","2815"
"2313","18","2816"
"2314","22","2817"
"2315","28","2818"
"2316","24","2819"
"2317","32","2820"
"2318","29","2821"
"2319","26","2822"
"2320","21","2823"
"2321","16","2824"
"2322","27","2825"
"2323","18","2826"
"2324","26","2827"
"2325","18","2828"
"2326","24","2829"
"2327","27","2830"
"2328","24","2831"
"2329","25","2832"
"2330","19","2833"
"2331","20","2834"
"2332","26","2835"
"2333","19","2836"
"2334","29","2837"
"2335","26","2838"
"2336","31","2839"
"2337","19","2843"
"2338","19","2845"
"2339","17","2846"
"2340","21","2847"
"2341","19","2848"
"2342","21","2849"
"2343","25","2850"
"2344","21","2851"
"2345","21","2852"
"2346","19","2854"
"2347","19","2855"
"2348","20","2856"
"2349","16","2860"
